symbol,day,labels,event_count
FHEUSDT,2026-01-17,core_trade,1
RIVERUSDT,2026-01-17,core_trade,1
AIXBTUSDT,2026-01-18,core_trade,1
DUSDT,2026-01-18,core_trade,1
FETUSDT,2026-01-18,core_trade,1
GIGGLEUSDT,2026-01-18,core_trade,1
NILUSDT,2026-01-18,core_trade,1
STOUSDT,2026-01-18,core_trade,1
AIXBTUSDT,2026-01-19,core_trade,1
DUSKUSDT,2026-01-19,core_trade,1
FETUSDT,2026-01-19,core_trade,1
GIGGLEUSDT,2026-01-19,core_trade,1
NILUSDT,2026-01-19,core_trade,1
GPSUSDT,2026-01-20,core_trade,1
FHEUSDT,2026-01-21,core_trade,1
NAORISUSDT,2026-01-21,core_trade,1
NAORISUSDT,2026-01-22,core_trade,1
RIVERUSDT,2026-01-22,core_trade,1
DUSKUSDT,2026-01-25,core_trade,1
NOMUSDT,2026-01-25,core_trade,1
SPACEUSDT,2026-01-25,core_trade,1
HMSTRUSDT,2026-01-26,core_trade,1
HMSTRUSDT,2026-01-27,core_trade,1
SPACEUSDT,2026-01-27,core_trade,1
RIVERUSDT,2026-01-28,core_trade,1
PLAYUSDT,2026-01-29,core_trade,1
RIVERUSDT,2026-01-29,core_trade,1
INITUSDT,2026-01-31,core_trade,1
RIVERUSDT,2026-01-31,core_trade,1
SWARMSUSDT,2026-01-31,core_trade,1
FLOCKUSDT,2026-02-01,core_trade,1
GWEIUSDT,2026-02-01,core_trade,1
MEGAUSDT,2026-02-01,core_trade,1
RIVERUSDT,2026-02-01,core_trade,1
币安人生USDT,2026-02-01,core_trade,1
CLOUSDT,2026-02-04,core_trade,1
COAIUSDT,2026-02-04,core_trade,1
4USDT,2026-02-06,core_trade,1
AIOUSDT,2026-02-06,core_trade,1
EVAAUSDT,2026-02-06,core_trade,1
PUMPUSDT,2026-02-06,core_trade,1
SIRENUSDT,2026-02-07,core_trade,1
AIOUSDT,2026-02-08,core_trade,1
FHEUSDT,2026-02-08,core_trade,1
SIRENUSDT,2026-02-08,core_trade,1
PIPPINUSDT,2026-02-09,core_trade,1
SIRENUSDT,2026-02-09,core_trade,1
FHEUSDT,2026-02-11,core_trade,1
POWERUSDT,2026-02-11,core_trade,1
ZROUSDT,2026-02-11,core_trade,1
BERAUSDT,2026-02-12,core_trade,1
BLESSUSDT,2026-02-12,core_trade,1
